ID;Gender;Folder name;Emotion number;Emotion name;AUs (Database info);Neutral expression - file name;Expression Apex - file name;Not Classified;;;;;;;;;;;;;;;;;;;
213 sequências de imagens, das quais: 101 não estão classificadas, 30 são de surpresa, 22 de felicidade, 20 de nojo, 15 de raiva, 10 de tristeza, 8 de medo e 7 de desprezo;;;;;;;;;;;;;;;;;;;;;;;;;;;
S037;M;1;7;#NOME?;1, 2, 25, 27;S037_001_00000001;S037_001_00000020; ;;;;;;;;;;;;;;;;;;;
S037;M;2;-;#NOME?;4, 17;S037_002_00000001;S037_002_00000017;X;;;;;;;;;;;;;;;;;;;
S037;M;3;1;#NOME?;4, 7, 17, 23, 24, 38;S037_003_00000001;S037_003_00000022; ;;;;;;;;;;;;;;;;;;;
S037;M;4;-;#NOME?;4, 7, 9, 17, 23;S037_004_00000001;S037_004_00000066;X;;;;;;;;;;;;;;;;;;;
S037;M;5;-;#NOME?;4, 7, 20, 21, 25;S037_005_00000001;S037_005_00000022;X;;;;;;;;;;;;;;;;;;;
S037;M;6;5;#NOME?;6, 12, 25;S037_006_00000001;S037_006_00000021; ;;;;;;;;;;;;;;;;;;;
S044;M;1;7;#NOME?;1, 2, 5, 25, 27;S044_001_00000001;S044_001_00000024; ;;;;;;;;;;;;;;;;;;;
S044;M;2;-;#NOME?;1, 4, 6, 7, 11, 12, 20, 25;S044_002_00000001;S044_002_00000018;X;;;;;;;;;;;;;;;;;;;
S044;M;3;5;#NOME?;6, 12, 25;S044_003_00000001;S044_003_00000014; ;;;;;;;;;;;;;;;;;;;
S044;M;4;-;#NOME?;4, 17;S044_004_00000001;S044_004_00000029;X;;;;;;;;;;;;;;;;;;;
S044;M;5;-;#NOME?;4, 5, 7, 17, 38;S044_005_00000001;S044_005_00000029;X;;;;;;;;;;;;;;;;;;;
S044;M;6;3;#NOME?;4, 6, 7, 9, 38;S044_006_00000001;S044_006_00000019; ;;;;;;;;;;;;;;;;;;;
S045;M;1;-;#NOME?;1, 2, 11, 12;S045_001_00000001;S045_001_00000030;X;;;;;;;;;;;;;;;;;;;
S045;M;2;-;#NOME?;1, 2, 17, 24, 43;S045_002_00000001;S045_002_00000014;X;;;;;;;;;;;;;;;;;;;
S045;M;3;-;#NOME?;12, 25;S045_003_00000001;S045_003_00000017;X;;;;;;;;;;;;;;;;;;;
S045;M;4;3;#NOME?;4, 7, 9, 17, 25;S045_004_00000001;S045_004_00000015; ;;;;;;;;;;;;;;;;;;;
S045;M;5;1;#NOME?;4, 7, 23, 24, 38;S045_005_00000001;S045_005_00000030; ;;;;;;;;;;;;;;;;;;;
S050;M;1;4;#NOME?;1, 2, 20, 25;S050_001_00000001;S050_001_00000017; ;;;;;;;;;;;;;;;;;;;
S050;M;2;7;#NOME?;1, 2, 5, 15, 25, 27;S050_002_00000001;S050_002_00000018; ;;;;;;;;;;;;;;;;;;;
S050;M;3;-;#NOME?;15, 17, 24;S050_003_00000001;S050_003_00000021;X;;;;;;;;;;;;;;;;;;;
S050;M;4;1;#NOME?;4, 7, 17, 24, 28;S050_004_00000001;S050_004_00000021; ;;;;;;;;;;;;;;;;;;;
S050;M;5;-;#NOME?;4, 7, 2009;S050_005_00000001;S050_005_00000013;X;;;;;;;;;;;;;;;;;;;
S050;M;6;5;#NOME?;6, 12, 25, 26;S050_006_00000001;S050_006_00000023; ;;;;;;;;;;;;;;;;;;;
S053;M;1;7;#NOME?;1, 2, 5, 25, 27;S053_001_00000001;S053_001_00000023; ;;;;;;;;;;;;;;;;;;;
S053;M;3;-;#NOME?;4, 7, 17, 23, 24, 39;S053_003_00000001;S053_003_00000065;X;IMAGENS COLORIDAS;;;;;;;;;;;;;;;;;;
S053;M;4;5;#NOME?;6, 12, 25, 26;S053_004_00000001;S053_004_00000024; ;;;;;;;;;;;;;;;;;;;
S054;M;1;-;#NOME?;12, 25;S054_001_00000001;S054_001_00000020;X;;;;;;;;;;;;;;;;;;;
S054;M;2;4;#NOME?;4, 5, 7, 20, 25;S054_002_00000001;S054_002_00000015; ;;;;;;;;;;;;;;;;;;;
S054;M;3;7;#NOME?;1, 2, 5, 25, 26;S054_003_00000001;S054_003_00000007; ;;;;;;;;;;;;;;;;;;;
S054;M;4;3;#NOME?;9, 23;S054_004_00000001;S054_004_00000024; ;;;;;;;;;;;;;;;;;;;
S056;M;1;-;#NOME?;15, 17;S056_001_00000001;S056_001_00000016;X;;;;;;;;;;;;;;;;;;;
S056;M;2;3;#NOME?;4, 7, 9, 17;S056_002_00000001;S056_002_00000010; ;;;;;;;;;;;;;;;;;;;
